,title,company,salary,summary
51,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
52,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
53,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
54,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
55,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
56,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
57,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
58,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
59,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
60,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
61,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,Full-time,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
62,Business Analyst - Clinical Systems,Novotech,Full-time,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
63,Reporting Analyst,EGM Partners,,Coordinate and prepare reports that monitor investment manager performance against custodian data.Funds SA is building capability to provide quality data and…
64,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,Full-time,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
65,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,Full-time,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
66,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,Part-time +1,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
67,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
68,Business Intelligence Lead,Group Corporate,Full-time,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
69,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
70,Software Engineer - Data and Analytics,Capgemini Australia,Full-time,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
71,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
72,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
73,Senior Risk and Compliance Analyst,Kaizen Recruitment,Full-time,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
74,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
75,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
76,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,Full-time,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
77,Business Analyst - Clinical Systems,Novotech,Full-time,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
78,Reporting Analyst,EGM Partners,,Coordinate and prepare reports that monitor investment manager performance against custodian data.Funds SA is building capability to provide quality data and…
79,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
80,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
81,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
82,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
83,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
84,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
85,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
86,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
87,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
88,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
89,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
90,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
91,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
92,Business Analyst - Clinical Systems,Novotech,,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
93,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
94,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
95,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
96,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
97,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
98,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
99,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
100,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
101,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
102,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
103,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
104,Senior Business Analyst,Hays Technology,,"Comprehensive understanding of data and information flow.This role will support numerous stakeholders in facilitating workshops, modelling processes, analysing…"
105,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
106,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
107,Business Analyst - Clinical Systems,Novotech,,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
108,Reporting Analyst,EGM Partners,,Coordinate and prepare reports that monitor investment manager performance against custodian data.Funds SA is building capability to provide quality data and…
109,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
110,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
111,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
112,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
113,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
114,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
115,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
116,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
117,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
118,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
119,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
120,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
121,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
122,Business Analyst - Clinical Systems,Novotech,,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
123,Reporting Analyst,EGM Partners,,Coordinate and prepare reports that monitor investment manager performance against custodian data.Funds SA is building capability to provide quality data and…
124,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
125,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
126,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
127,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
128,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
129,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
130,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
131,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
132,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
133,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
134,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
135,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
136,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
137,Business Analyst - Clinical Systems,Novotech,,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
138,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
139,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
140,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
141,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
142,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
143,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
144,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
145,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
146,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
147,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
148,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
149,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
150,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
151,Senior Business Analyst,Hays Technology,,"Comprehensive understanding of data and information flow.This role will support numerous stakeholders in facilitating workshops, modelling processes, analysing…"
152,Business Analyst - Clinical Systems,Novotech,,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
153,Reporting Analyst,EGM Partners,,Coordinate and prepare reports that monitor investment manager performance against custodian data.Funds SA is building capability to provide quality data and…
154,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
155,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
156,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
157,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
158,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
159,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
160,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
161,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
162,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
163,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
164,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
165,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
166,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
167,Business Analyst - Clinical Systems,Novotech,,"Good understanding of data modeling /data architecture is essential.Determine data flows and sources, identify data conversion or migration needed to support…"
168,Senior Financial Analyst – Reporting & Systems - SAP,Contingent Roles at Santos,,Highly proficient in MS office products and data modelling / manipulation.Train and mentor finance staff with SAP/SAC reporting and master data issues.
169,Principal Estimating & Pricing Analyst,Raytheon Intelligence & Space,,"Process cost data, perform cost analysis and support the development of management/gate reviews.Be exposed to multiple programs and platforms."
170,"Senior Activity Based Management (ABM) Analyst, Business Int...",SA Health,,"This includes effective management of resource information systems and processes that contribute to maintaining patient level costing, funding models, ABM,…"
171,Senior Analyst - Cyber Risk - Infrastructure Security - Adel...,Deloitte,,Our cyber risk practice has deep capabilities across cyber strategy and governance; cloud and infrastructure; identity and access management; attack and…
172,Business Intelligence Lead,Group Corporate,,"Connect data sources, import data, and transform data for BI.Understanding of data protection and data governance.Design and develop BI reports."
173,SENIOR BUSINESS ANALYST - DIGITAL TRANSFORMATION,BAE Systems,,Demonstrated knowledge of business analysis governance and data-driven evaluation processes and methodologies.
174,Software Engineer - Data and Analytics,Capgemini Australia,,"Working with some of South Australia's leading software engineers, data engineers and data scientists on projects that will transform Government services."
175,Cyber Governance Risk & Compliance Analyst,EGM Partners,,"Reporting directly to the Head of Cyber Security and Enterprise Technology, the Cyber Governance Risk & Compliance Analyst will be responsible for managing…"
176,SENIOR FINANCIAL PLANNING AND REPORTING ANALYST SAHMRI,Hender Consulting,,"Reporting to the Financial Planning and Analysis Manager (FP&A Manager), this newly created role provides an opportunity to contribute to the continued…"
177,Senior Risk and Compliance Analyst,Kaizen Recruitment,,"Location - Adelaide | Relocation package offered.Support the Executive Manager Governance, Risk and Compliance (EMGRC), and Investment business leaders to…"
178,Senior Energy Market Analyst,EGM Partners,,"Responsible for maintaining a large database of energy related data.Data sources include data-providers, industry publications, regulatory agencies and web…"
179,Technical Business Analyst,Randstad,,Experience with articulating technical data and infrastructure writing reports to share with stakeholders.Ability to contribute to the development of project…
180,Senior IDS Data & Analytics Architectural Lead,Harrison McMillan,,Advanced experience in enterprise data modelling and database design within a large organisation.Advanced experience in data warehousing or business…
181,Business Analyst,Hays Technology,,"Comprehensive understanding of data and information flow.This role will support numerous stakeholders in facilitating workshops, modelling processes, analysing…"
